sku,category,name,rrp,npp,ean,tariff,weight,size,tax_class
HO-51574,HOBBY,"Lagarosiphon  20 cm, SB",5.79,2.6,4 011444515742,67021000000,0.05,25 x 11 x 4,1
HO-51575,HOBBY,"Lagarosiphon  34 cm, SB",8.59,4.12,4 011444515759,67021000000,0.08,41 x 12 x 4,1
HO-51576,HOBBY,"Lagarosiphon  60 cm, SB",16.09,8.02,4 011444515766,67021000000,0.23,69 x 13 x 5,1
HO-51573,HOBBY,"Lagarosiphon  7 cm, SB",3.49,1.65,4 011444515735,67021000000,0.03,15 x 11 x 3,1
HO-41732,HOBBY,"Lakshmana  8 x 7,5 x 12,5 cm",10.69,5.31,4 011444417329,39264000000,0.11,8 x 13 x 9,1
HO-41450,HOBBY,"Laterit  20 Kugeln, Ø 15 mm",8.19,4.02,4 011444414502,25084000,0.11,11 x 8 x 3,1
HO-40444,HOBBY,"Layered Rock M - 0,7 - 1,4 kg",6.59,3.21,4 011444404442,,0,,1
HO-11700,HOBBY,"Lifter Mini  240 l/h, SB",6.29,3.1,4 011444117007,39269097900,0.03,25 x 4 x 3,1
HO-51546,HOBBY,"Lilaeopsis mini  1,5 x 1,5 x 7 cm, SB",3.89,1.9,4 011444515469,67021000000,0.01,13 x 9 x 1,1
HO-00500,HOBBY,Lindenholzausströmer  45 x 15 x 15 mm,1.29,0.51,4 011444005007,44219999,0.01,5 x 1 x 1,1
HO-00501,HOBBY,"Lindenholzausströmer  45 x 15 x 15 mm, 2 St., SB",3.39,1.45,4 011444005014,44219999,0.01,12 x 8 x 1,1
HO-00600,HOBBY,Lindenholzausströmer  75 x 15 x 15 mm,1.99,0.96,4 011444006004,44219999,0.01,9 x 1 x 1,1
HO-00601,HOBBY,"Lindenholzausströmer  75 x 15 x 15 mm, 2 St., SB",4.79,2.39,4 011444006011,44219999,0.02,12 x 8 x 2,1
HO-30950,HOBBY,"Liquizell, Startfutter  250 ml",28.49,14.21,4 011444309501,23080090,0.3,16 x 5 x 5,2
HO-30900,HOBBY,"Liquizell, Startfutter  50 ml",6.69,3.33,4 011444309006,23080090,0.06,11 x 5 x 3,2
HO-41728,HOBBY,"Little Buddha  10 x 9 x 12,5 cm",10.69,5.31,4 011444417282,39264000000,0.18,6 x 9 x 12,1
HO-40542,HOBBY,Loch-Lava L  ,11.09,5.51,4 011444405425,25174900,0.87,11 x 15 x 17,1
HO-40541,HOBBY,Loch-Lava M  ,7.69,3.77,4 011444405418,25174900,0.3,9 x 12 x 13,1
HO-40652,HOBBY,"Lochgestein, asiatisch L  2-3,5 kg",15.39,7.68,4 011444406521,25309000000,2.84,13 x 28 x 12,1
HO-40651,HOBBY,"Lochgestein, asiatisch M  1-2 kg",9.49,4.72,4 011444406514,25309000000,1.52,11 x 14 x 15,1
HO-40653,HOBBY,"Lochgestein, asiatisch XL  > 3,5 kg",23.69,11.82,4 011444406538,25309000000,3.68,15 x 26 x 19,1
HO-62001,HOBBY,"Lochsauger  2 St., SB",1.49,0.57,4 011444620019,39269097900,0,12 x 8 x 1,1
HO-00800,HOBBY,"Long-Long, Ausströmer  250 mm, SB",8.59,4.27,4 011444008008,69139098900,0.1,34 x 8 x 1,1
HO-41516,HOBBY,"Ludwigia  25 cm, SB",6.79,3.24,4 011444415165,67021000000,0.08,30 x 11 x 4,1
HO-41520,HOBBY,"Ludwigia  34 cm, SB",8.59,4.12,4 011444415202,67021000000,0.1,41 x 12 x 4,1
HO-41517,HOBBY,"Ludwigia  60 cm, SB",16.09,8.02,4 011444415172,67021000000,0.24,68 x 40 x 5,1
HO-63611,HOBBY,Lufthähnchen  ,1.49,0.52,4 011444636119,39269097900,0,2 x 4 x 1,1
HO-63610,HOBBY,"Lufthähnchen  2 St., SB",2.79,1.22,4 011444636102,39269097900,0,12 x 8 x 1,1
HO-64900/1,HOBBY,Luftschlauch 4 / 6  1 Meter,0.49,0.25,4 011444649003,39269097,0.02,,1
HO-64902,HOBBY,"Luftschlauch 4 / 6  3 m, SB",3.89,1.87,4 011444649027,39269097900,0.06,23 x 13 x 3,1
HO-64950,HOBBY,Luftschlauch 4 / 6  Abrollbox - 200M,0,53.9,4 011444649508,39269097900,0.02,13 x 40 x 40,1
HO-64960,HOBBY,"Luftschlauch 4 / 6, transparent  Abrollbox - 200M",98,42,4 011444649607,39269097900,4.28,13 x 40 x 40,1
HO-63336,HOBBY,Luftverteiler - ,4.39,2.15,4 011444633361,,0,,1
HO-MBR157DC,HOBBY,Macro Algen Reaktor QP 2.0,0,207.25, ,,0.01,,1
HO-40460,HOBBY,"Madeira Rock L  1,5 - 2,5 kg",13.69,6.83,4 011444404602,25309000000,2,9 x 10 x 14,1
